,disc_number,duration_ms,id,name,popularity,track_number,type_x,album.album_type,album.name,album.release_date,album.release_date_precision,album.total_tracks,album.type,id_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type_y,uri,track_href,analysis_url,time_signature
0,1,261773,4DcGZBrgSQwatPFwBN49BG,Sugar Cane,30,10,track,album,Jungle Run,2019-02-15,day,10,album,5HNkGissAKlCv88sus7rVO,0.414,0.627,1,-6.671,0,0.0315,0.249,0.00942,0.09,0.305,82.517,audio_features,spotify:track:4DcGZBrgSQwatPFwBN49BG,https://api.spotify.com/v1/tracks/4DcGZBrgSQwatPFwBN49BG,https://api.spotify.com/v1/audio-analysis/4DcGZBrgSQwatPFwBN49BG,4
1,1,261773,4DcGZBrgSQwatPFwBN49BG,Sugar Cane,30,10,track,album,Jungle Run,2019-02-15,day,10,album,7ImrqgGNQfICLCcdLXhkoT,0.414,0.627,1,-6.671,0,0.0315,0.249,0.00942,0.09,0.305,82.517,audio_features,spotify:track:4DcGZBrgSQwatPFwBN49BG,https://api.spotify.com/v1/tracks/4DcGZBrgSQwatPFwBN49BG,https://api.spotify.com/v1/audio-analysis/4DcGZBrgSQwatPFwBN49BG,4
2,1,302733,4xngFegdQfgTQxFki40pTn,Buckle Up,37,4,track,album,Freedom Fables,2021-03-12,day,9,album,5HNkGissAKlCv88sus7rVO,0.677,0.616,1,-6.577,0,0.0873,0.45,0.0011,0.107,0.562,96.968,audio_features,spotify:track:4xngFegdQfgTQxFki40pTn,https://api.spotify.com/v1/tracks/4xngFegdQfgTQxFki40pTn,https://api.spotify.com/v1/audio-analysis/4xngFegdQfgTQxFki40pTn,4
3,1,302733,4xngFegdQfgTQxFki40pTn,Buckle Up,37,4,track,album,Freedom Fables,2021-03-12,day,9,album,6Z37ofcWV3ZDEMbevEtoSk,0.677,0.616,1,-6.577,0,0.0873,0.45,0.0011,0.107,0.562,96.968,audio_features,spotify:track:4xngFegdQfgTQxFki40pTn,https://api.spotify.com/v1/tracks/4xngFegdQfgTQxFki40pTn,https://api.spotify.com/v1/audio-analysis/4xngFegdQfgTQxFki40pTn,4
4,1,288933,5QG1CBiBZqbznczwEVQFFG,Through The Noise (Chant No. 2),33,1,track,single,Through The Noise (Chant No. 2),2022-08-05,day,1,album,5HNkGissAKlCv88sus7rVO,0.615,0.76,0,-6.886,0,0.0475,0.0627,0.075,0.0781,0.53,132.124,audio_features,spotify:track:5QG1CBiBZqbznczwEVQFFG,https://api.spotify.com/v1/tracks/5QG1CBiBZqbznczwEVQFFG,https://api.spotify.com/v1/audio-analysis/5QG1CBiBZqbznczwEVQFFG,4
5,1,327960,39dsqpRTcjZQExrzeQAiJV,Morning Light,40,1,track,album,Freedom Fables,2021-03-12,day,9,album,5HNkGissAKlCv88sus7rVO,0.398,0.628,5,-7.597,0,0.328,0.0498,0.0698,0.333,0.603,179.349,audio_features,spotify:track:39dsqpRTcjZQExrzeQAiJV,https://api.spotify.com/v1/tracks/39dsqpRTcjZQExrzeQAiJV,https://api.spotify.com/v1/audio-analysis/39dsqpRTcjZQExrzeQAiJV,4
6,1,327960,39dsqpRTcjZQExrzeQAiJV,Morning Light,40,1,track,album,Freedom Fables,2021-03-12,day,9,album,7sqPt1JYIkHzs8xIizhyXn,0.398,0.628,5,-7.597,0,0.328,0.0498,0.0698,0.333,0.603,179.349,audio_features,spotify:track:39dsqpRTcjZQExrzeQAiJV,https://api.spotify.com/v1/tracks/39dsqpRTcjZQExrzeQAiJV,https://api.spotify.com/v1/audio-analysis/39dsqpRTcjZQExrzeQAiJV,4
7,1,295893,5Nu4AvrNgIx42nWGbteHLh,Victory Dance,42,2,track,album,Where I'm Meant To Be,2022-11-04,day,14,album,5BRAUN0yN8557PLRZIr02W,0.67,0.753,4,-10.079,0,0.0589,0.0015,0.867,0.0508,0.496,137.877,audio_features,spotify:track:5Nu4AvrNgIx42nWGbteHLh,https://api.spotify.com/v1/tracks/5Nu4AvrNgIx42nWGbteHLh,https://api.spotify.com/v1/audio-analysis/5Nu4AvrNgIx42nWGbteHLh,4
8,1,143160,0pDB9JmbZxupqmZuuevxjS,There Are Worse Things I Could Do - From “Grease”,57,20,track,compilation,Grease (The Original Motion Picture Soundtrack),1978-04-04,day,24,album,5JFi0qiRtsMLnSUJDwhBKo,0.49,0.249,7,-13.909,1,0.0342,0.856,9.72e-06,0.102,0.164,101.395,audio_features,spotify:track:0pDB9JmbZxupqmZuuevxjS,https://api.spotify.com/v1/tracks/0pDB9JmbZxupqmZuuevxjS,https://api.spotify.com/v1/audio-analysis/0pDB9JmbZxupqmZuuevxjS,3
9,1,185360,5BUq9bdtsm3LWw5laJeJ4R,Hopelessly Devoted To You - From “Grease”,72,3,track,compilation,Grease (The Original Motion Picture Soundtrack),1978-04-04,day,24,album,4BoRxUdrcgbbq1rxJvvhg9,0.59,0.338,11,-13.101,0,0.03,0.292,0.0131,0.121,0.322,110.581,audio_features,spotify:track:5BUq9bdtsm3LWw5laJeJ4R,https://api.spotify.com/v1/tracks/5BUq9bdtsm3LWw5laJeJ4R,https://api.spotify.com/v1/audio-analysis/5BUq9bdtsm3LWw5laJeJ4R,3
10,1,288440,73GR50SgGV5hybgWDSFWtD,You Make Me Feel Brand New,64,9,track,album,Rockin' Roll Baby,1973-10-23,day,10,album,2O0Hw1WSMbskB5tD9aWah3,0.453,0.359,7,-8.567,1,0.0247,0.849,3.02e-05,0.137,0.178,76.015,audio_features,spotify:track:73GR50SgGV5hybgWDSFWtD,https://api.spotify.com/v1/tracks/73GR50SgGV5hybgWDSFWtD,https://api.spotify.com/v1/audio-analysis/73GR50SgGV5hybgWDSFWtD,4
11,1,288440,73GR50SgGV5hybgWDSFWtD,You Make Me Feel Brand New,64,9,track,album,Rockin' Roll Baby,1973-10-23,day,10,album,2O0Hw1WSMbskB5tD9aWah3,0.453,0.359,7,-8.567,1,0.0247,0.849,3.02e-05,0.137,0.178,76.015,audio_features,spotify:track:73GR50SgGV5hybgWDSFWtD,https://api.spotify.com/v1/tracks/73GR50SgGV5hybgWDSFWtD,https://api.spotify.com/v1/audio-analysis/73GR50SgGV5hybgWDSFWtD,4
12,1,174400,6VzG27NVjcEAP4af8ShhWM,You Are Everything,51,18,track,compilation,Greatest Hits,1992-01-01,day,18,album,2O0Hw1WSMbskB5tD9aWah3,0.509,0.482,2,-13.7,0,0.0365,0.921,5.11e-05,0.327,0.6,141.973,audio_features,spotify:track:6VzG27NVjcEAP4af8ShhWM,https://api.spotify.com/v1/tracks/6VzG27NVjcEAP4af8ShhWM,https://api.spotify.com/v1/audio-analysis/6VzG27NVjcEAP4af8ShhWM,4
13,1,169933,1GLmaPfulP0BrfijohQpN5,Don't Worry Baby - Remastered 2001,68,2,track,album,"Shut Down, Vol. 2 (Remastered)",1964-03-02,day,12,album,3oDbviiivRWhXwIE8hxkVV,0.487,0.464,4,-9.821,1,0.03,0.0666,0.00531,0.105,0.851,121.242,audio_features,spotify:track:1GLmaPfulP0BrfijohQpN5,https://api.spotify.com/v1/tracks/1GLmaPfulP0BrfijohQpN5,https://api.spotify.com/v1/audio-analysis/1GLmaPfulP0BrfijohQpN5,4
